Band,Origin,Years Active,Page Title,Summary,
Underworld,Cardiff,1987–present,Underworld (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Underworld</b> are a British electronic music group formed in 1987 in Cardiff, Wales and the principal collaborative project of Karl Hyde and Rick Smith. Prominent former members include Darren Emerson, from 1991 to 2001, and Darren Price, as part of the live band from 2005 to 2016.
</p><p>After briefly performing as a funk and synth-pop outfit, resulting in two albums between 1988 and 1989, Underworld gained prominence after reshaping into a dance and techno band, releasing albums including <i>Dubnobasswithmyheadman</i> (1994), <i>Second Toughest in the Infants</i> (1996) and <i>Beaucoup Fish</i> (1999), as well as singles  ""Born Slippy .NUXX"" and ""Dark &amp; Long (Dark Train)"". Known for their atmospheric, progressive compositions, Hyde's cryptic lyrics, and dynamic live performances, Underworld have influenced a wide range of artists and have been featured in soundtracks and scores for films, television, and the 2012 Summer Olympics in London.
</p>


",
,,,,,
Supergrass,Oxford,"1993–2010, 2019–2022 (on hiatus)",Supergrass,"<p class=""mw-empty-elt"">

</p>
<p><b>Supergrass</b> are an English rock band formed in 1993 in Oxford. For the majority of the band's tenure, the line-up consisted of brothers Gaz (lead vocals, guitar) and Rob Coombes (keyboards), Mick Quinn (bass, backing vocals) and Danny Goffey (drums, backing vocals). Originally a three-piece, Rob Coombes officially joined the band in 2002. 
</p><p>The band signed to Parlophone Records in 1994 and produced <i>I Should Coco</i> (1995), the best-selling debut album for the label since the Beatles' <i>Please Please Me</i>. Their first album's fourth single, ""Alright"", was an international hit. The band went on to release five albums: <i>In It for the Money</i> (1997), <i>Supergrass</i> (1999), <i>Life on Other Planets</i> (2002), <i>Road to Rouen</i> (2005) and <i>Diamond Hoo Ha</i> (2008), as well as a compilation called <i>Supergrass Is 10</i> (2004).
</p><p>In August 2009 the band signed to Cooking Vinyl and began work on their seventh studio album, <i>Release the Drones</i>. The album remains unreleased and unfinished. On 12 April 2010, the band announced that they were splitting up due to musical and creative differences. The group disbanded after four farewell gigs, the final one at La Cigale, Paris, on 11 June 2010.</p><p>The band reformed in 2019, initially to perform at Pilton Party followed by a ""secret"" gig at Oslo in Hackney, London. The band made their final appearance of their reunion to date with a performance in honour of Foo Fighters' recently deceased drummer Taylor Hawkins at his tribute concert, performing some of Hawkins' favourite songs from Supergrass's catalogue. Hawkins had previously expressed his love of the band, and had even made a cameo drum appearance at one of their concerts.</p>



",
,,,,,
Europe,Upplands Väsby,"1979-1992, 1999, 2003-present",Europe (band),"<p class=""mw-empty-elt"">
</p>
<p><b>Europe</b> is a Swedish rock band formed in Upplands Väsby in 1979, by frontman Joey Tempest, guitarist John Norum, bassist Peter Olsson, and drummer Tony Reno. They obtained a major breakthrough in Sweden in 1982 by winning the televised competition ""<i>Rock-SM</i>"" (Swedish Rock Championships); it was the first time this competition was held, and Europe became a larger success than the competition itself.
</p><p>Since their formation, Europe has released eleven studio albums, three live albums, three compilations and twenty-four music videos. Europe's current lineup comprises Tempest, Norum, bassist John Levén, keyboardist Mic Michaeli, and drummer Ian Haugland.
</p><p>Europe rose to international fame in the 1980s with their third album, 1986's <i>The Final Countdown</i>. As of 2003, Europe has sold 10 million albums worldwide. The band has had two top 20 albums on the <i>Billboard</i> 200 chart (<i>The Final Countdown</i>  and <i>Out of This World</i>) and three top 30 singles on the <i>Billboard</i> Hot 100 chart (""The Final Countdown"", ""Rock the Night"" and ""Carrie"", which reached number 3 on the <i>Billboard</i> Hot 100).</p><p>Europe went on hiatus in 1992, reunited temporarily for a one-off performance in Stockholm on New Year's Eve 1999 and announced an official reunion in 2003. Since then the band has released six albums, <i>Start from the Dark</i> (2004), <i>Secret Society</i> (2006), <i>Last Look at Eden</i> (2009), <i>Bag of Bones</i> (2012), <i>War of Kings</i> (2015) and <i>Walk the Earth</i> (2017).
</p><p>Europe gained new attention in the US after being featured in a GEICO cable television commercial campaign during 2015–2016.
</p><p>The band is mainly influenced by Whitesnake, Deep Purple, Rainbow, Led Zeppelin, Thin Lizzy, UFO and Michael Schenker Group.</p>


",
,,,,,
Jethro Tull,Luton,1967–2012|2017–present,Jethro Tull (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Jethro Tull</b> are  a British rock band formed in Luton, England, in 1967. Initially playing blues rock and jazz fusion, the band soon incorporated elements of English folk, hard rock, and classical music, forging a signature progressive rock sound. The group’s bandleader, founder, primary composer, and only constant member is Ian Anderson, a multi-instrumentalist who mainly plays flute and acoustic guitar, and is also the lead vocalist. The group has featured a succession of musicians throughout the decades, including significant contributors such as electric guitarist Martin Barre (the longest serving member besides Anderson), keyboardists John Evan, Dee Palmer, Peter-John Vettese, and Andrew Giddings, drummers Clive Bunker, Barrie ""Barriemore"" Barlow, and Doane Perry, and bassists Glenn Cornick, Jeffrey Hammond, John Glascock, Dave Pegg, and Jonathan Noyce.
</p><p>The band achieved moderate recognition in the London club scene and released their debut album, <i>This Was</i>, in 1968. After a lineup change which saw original guitarist Mick Abrahams replaced by Martin Barre, the band released their folk-tinged second album <i>Stand Up</i> in 1969. <i>Stand Up</i> saw the band achieve their first commercial success, reaching No. 1 in the UK, which was followed by regular tours of the UK and the US. The musical style shifted in the direction of progressive rock with the albums <i>Aqualung</i> (1971), <i>Thick as a Brick</i> (1972), and <i>A Passion Play</i> (1973), and shifted again to contemporary folk rock with <i>Songs from the Wood</i> (1977), <i>Heavy Horses</i> (1978), and <i>Stormwatch</i> (1979). In the early 1980s, the band underwent a major lineup change and shifted towards electronic rock, with the albums <i>A</i> (1980), <i>The Broadsword and the Beast</i> (1982), and <i>Under Wraps</i> (1984). The band won their sole Grammy Award for the 1987 album <i>Crest of a Knave</i>, which saw them returning to a hard rock style. Jethro Tull have sold an estimated 60 million albums worldwide, with 11 gold and five platinum albums. They have been described by <i>Rolling Stone</i> as ""one of the most commercially successful and eccentric progressive rock bands.""</p><p>The last works as a group to contain new material prior to their hiatus were <i>J-Tull Dot Com</i> (1999) and a Christmas album in 2003, though the band continued to tour until 2011. Both Anderson and Barre have continued to record and tour as solo artists. Anderson said in 2014 that Jethro Tull ""came more or less to an end."" The current group—now billed as ""Ian Anderson and the Jethro Tull band""—includes musicians who were part of Jethro Tull during the last years of its initial run as well as newer musicians associated with Anderson's solo band, without Barre's involvement. Jethro Tull released <i>The Zealot Gene</i> in 2022 following a gap of 19 years, and are currently working on a 23rd album, titled <i>RökFlöte</i>.</p>",
,,,,,
Survivor,Chicago,"1979–1988, 1993–present",Survivor (band),"<p class=""mw-empty-elt"">
</p>

<p><b>Survivor</b> is an American rock band formed in Chicago in 1978 by Jim Peterik and Frankie Sullivan. The band achieved its best success in the 1980s, producing many charting singles, especially in the United States. The band is best-known for their double-platinum-certified 1982 hit ""Eye of the Tiger"", the theme song for the 1982 motion picture <i>Rocky III</i>; that single spent six weeks at number one in the US. The band continued to chart in the mid-1980s with singles like ""Burning Heart"" (US number 2), ""The Search Is Over"" (US number 4), ""High on You"" (US number 8), ""Is This Love"" (US number 9), and ""I Can't Hold Back"" (US number 13).
</p>


",
,,,,,
Bastille,London,2010–present,Bastille (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Bastille</b> (sometimes stylised as <b>BΔSTILLE</b>) are  an English pop rock band formed in 2010. The group began as a solo project by lead vocalist Dan Smith, but later expanded to include keyboardist Kyle Simmons, bassist and guitarist Will Farquarson and drummer Chris ""Woody"" Wood.</p><p>After an independently released debut single and a self-released EP, the band signed to Virgin Records. Their first studio album, <i>Bad Blood</i>, was released in March 2013 and entered the UK Albums Chart at number one and included the hit single ""Pompeii"" which peaked at number two on the UK Singles Chart. Bastille was nominated for four Brit Awards at the 2014 ceremony, winning the British Breakthrough Act. As of August 2021, the band have sold over eleven million records worldwide.</p>",
,,,,,
Doves,,1998–2010, 2018–present,Doves (band),"<p class=""mw-empty-elt"">
</p>
<p><b>Doves</b> are an English indie rock band formed in Manchester. The band is composed of twin brothers Jez Williams (guitar, vocals) and Andy Williams (drums, vocals), and Jimi Goodwin (bass, vocals, guitar). Additionally, the band employs Martin Rebelski, as a touring and session musician on keyboards. The band released four studio albums between 2000 and 2009, two of which reached #1 on the UK album charts. A compilation album, <i>The Places Between: The Best of Doves</i>, was released in April 2010.
</p><p>Doves went on hiatus in 2010. During this time Goodwin released his first solo album, <i>Odludek</i> (2014), while the Williams brothers regrouped as Black Rivers. In December 2018, Doves announced they were ending their hiatus by performing for the Teenage Cancer Trust at London's Royal Albert Hall on 29 March 2019. Further festivals, including some dates with Noel Gallagher, were subsequently announced. The band released two new songs: ""Carousels"" and ""Prisoners"", in June and July 2020 respectively. Their fifth studio album <i>The Universal Want</i> was released in September 2020.</p>"
